dec,ra,hSyntMag
-27.813205,53.130788,
-27.8110406767796,53.1249659753214,17.8938286
-27.813082,53.123302,
-27.8184849642554,53.1378158636883,
-27.8021339210341,53.1180501751722,16.645068300000002
-27.80146,53.11772,
-27.8123851626805,53.1461747841367,18.502161559999998
-27.80211,53.11468,
-27.8233441886544,53.1380357741974,
-27.807354,53.111933,
-27.8296151648108,53.1354078785686,
-27.8302066886871,53.1379508647706,
-27.8309927003638,53.1378220912111,
-27.7829234350418,53.132305654314,17.2774879
-27.7956813570971,53.1565834766383,21.49461301
-27.815182,53.103629,
-27.83288394571,53.1379252470593,
-27.8023197763688,53.101739602857,18.079045400000002
-27.7949896126548,53.1583937025568,17.280014500000004
-27.779101,53.135855,
-27.818281,53.161887,
-27.8367534806525,53.1370662173823,
-27.8367947020737,53.1378595301641,
-27.8381366713567,53.1378132975458,
-27.7758834858324,53.1335257464892,15.289991800000003
-27.8395789115545,53.1357548170629,17.56239224
-27.8402871605103,53.1374285286743,
-27.784335,53.103915,
-27.7728016063029,53.1285007743104,
-27.8423781450043,53.1374364750635,
-27.8415142780359,53.1193488483321,16.842905899999998
-27.8430285559572,53.1382017966248,19.83932864
-27.8446162939953,53.1376040188667,
-27.8238633990536,53.0930851695257,15.881831999999996
-27.8451474069788,53.1373451126032,
-27.844981,53.122099,
-27.7824488124767,53.0984812891338,16.661195300000003
-27.7791892493384,53.1009873729992,
-27.820289,53.173335,
-27.846971637028,53.137392005277,
-27.8470134457737,53.1378233002147,
-27.8478065380934,53.1372484927127,
-27.767015,53.135805,
-27.7997191985864,53.1768614892787,16.570275600000002
-27.78726,53.171969,
-27.8485630952661,53.1376822922974,
-27.8495641761628,53.1377187430588,
-27.8470755875989,53.1130437596388,19.190994800000002
-27.8502175486054,53.1367986858182,
-27.850223637133,53.1381153405339,
-27.8506426987852,53.1374349089747,
-27.7883329393211,53.0858958558661,
-27.7692980883941,53.15803546532,18.643354599999995
-27.8525891107187,53.1278679806956,17.3813336
-27.83516,53.172158,
-27.8529738063298,53.132599950282,
-27.8527735714215,53.137734739027,
-27.8505310914557,53.1487860249393,18.016879089999996
-27.8529235013469,53.1372619930554,
-27.8527098234027,53.1398087438988,
-27.8068401431716,53.1835021689084,18.207513499999997
-27.8537011881606,53.1372836465552,
-27.852094,53.147455,
-27.8458073031508,53.161872036249,20.28222269
-27.7893114398728,53.0827999814297,19.6089405
-27.8542182859673,53.1374517006978,
-27.8545257711854,53.1378368272606,
-27.8551732064365,53.1367357459535,
-27.8546978598323,53.1411940716291,
-27.843279,53.093452,
-27.802232,53.075477,
-27.8579589283419,53.137351467688,
-27.845292,53.169965,
-27.770682,53.091648,
-27.8589445528067,53.1287645300859,18.123337310000004
-27.8423748288237,53.0884653424506,17.91199774
-27.8482272246799,53.0950796229267,17.878667
-27.7671907750759,53.0922453107874,
-27.8606676323821,53.1367305994809,
-27.825127,53.188632,
-27.8613158566494,53.1376831437722,
-27.858366,53.109855,
-27.8578155739653,53.1549644912164,19.471571160000003
-27.811774,53.192913,
-27.850500860085,53.0922599414519,
-27.7975428093945,53.0699865032455,
-27.843796,53.084077,
-27.8630352494349,53.135376589528,
-27.8634334935377,53.1370070931549,15.3115203
-27.8502929225699,53.1739926752696,19.662501050000003
-27.8353592556063,53.0744445215379,17.1492542
-27.7555159420622,53.1035316268358,
-27.7499397934016,53.1272503526799,18.486222500000004
-27.8658244048574,53.1373305835729,
-27.8585222623397,53.0976294464528,17.61303848
-27.7652910008505,53.1782347357843,
-27.816914,53.198055,
-27.7682551903287,53.1825933877586,16.321580800000003
-27.7499738119861,53.1512835501725,17.732781
-27.7744832231319,53.0743788990432,16.8518612
-27.8125477039374,53.2005099493194,19.603507649999997
-27.745683,53.133329,
-27.804966,53.201516,
-27.7518827389769,53.1627225368452,
-27.797492,53.061839,
-27.8703382815817,53.1372977550075,
-27.8519196592987,53.1823983392938,17.133842099999995
-27.8422075683296,53.0704671251728,18.079658199999997
-27.8503433020363,53.1857125968792,16.936187899999997
-27.7594783841375,53.083158903128,15.9429972
-27.871979,53.127915,
-27.7431295200272,53.131076526668,16.2711015
-27.7470959068112,53.1615573380108,
-27.741449,53.124733,
-27.8739192693006,53.1376295002684,
-27.873771,53.118356,
-27.8751220466437,53.1249315114254,16.623098799999998
-27.8729063415863,53.1094618640064,17.7618574
-27.801717,53.053941,
-27.86377,53.177953,
